Date,Type,Details,Amount,Units,Realized Equity Change,Realized Equity,Balance,Asset type,NWA
02/05/2024 07:00,Open Position,SPY5.L/USD,800,1.587488,0,30400,0,ETF,0
07/05/2024 09:45,Deposit,,2400,-,2400,32800,2400,-,0
07/05/2024 09:45,Deposit Conversion Fee,-,0,-,0,32800,2400,-,0
07/05/2024 10:16,Open Position,BA.L/GBX,1200,70.17352,0,32800,1200,Stocks,0
07/05/2024 10:20,SDRT,BA.L/GBX,-5.92,-,-5.92,32794.08,1194.08,Stocks,0
10/05/2024 12:01,Open Position,BA.L/GBX,1194.08,68.240384,0,32794.08,0,Stocks,0
10/05/2024 12:05,SDRT,BA.L/GBX,-5.92,-,-5.92,32788.16,-5.92,Stocks,0
10/05/2024 17:16,Deposit,,1600,-,1600,34388.16,1594.08,-,0
10/05/2024 17:16,Deposit Conversion Fee,-,0,-,0,34388.16,1594.08,-,0
15/05/2024 07:00,Open Position,RHM.DE/EUR,800,1.407408,0,34388.16,794.08,Stocks,0
15/05/2024 07:04,Open Position,IUS3.DE/EUR,794.08,8.855184,0,34388.16,0,ETF,0
16/05/2024 07:16,Position closed,IJPE/EUR,954.72,9.7556,-5.28,34382.88,954.72,ETF,0
16/05/2024 07:16,Open Position,IUS3.DE/EUR,954.72,10.645088,0,34382.88,0,ETF,0
21/05/2024 00:26,Dividend,RHM.DE/EUR,6.4,-,6.4,34389.28,6.4,Stocks,0
21/05/2024 00:26,Dividend,RHM.DE/EUR,6.56,-,6.56,34395.84,12.96,Stocks,0
21/05/2024 00:26,Dividend,RHM.DE/EUR,6.56,-,6.56,34402.4,19.52,Stocks,0
22/05/2024 11:28,Deposit Conversion Fee,-,0,-,0,48002.4,13619.52,-,0
22/05/2024 11:28,Deposit,,13600,-,13600,48002.4,13619.52,-,0
22/05/2024 11:29,Open Position,IDEM/USD,1203.52,28.080256,0,48002.4,12416,ETF,0
22/05/2024 11:30,Open Position,CEBP.DE/EUR,1216,115.343664,0,48002.4,11200,ETF,0
23/05/2024 09:22,Open Position,SX5EEX.DE/EUR,1600,28.564624,0,48002.4,9600,ETF,0
23/05/2024 09:23,Open Position,IUS3.DE/EUR,800,9.026016,0,48002.4,8800,ETF,0
23/05/2024 09:38,Start Copy,Magnificent-7,0,-,0,48002.4,800,-,0
23/05/2024 13:30,Open Position,TSLA/USD,315.84,1.737776,0,48002.4,800,Stocks,0
23/05/2024 13:30,Open Position,AAPL/USD,1632.8,8.554512,0,48002.4,800,Stocks,0
23/05/2024 13:30,Open Position,MSFT/USD,1777.12,4.0988,0,48002.4,800,Stocks,0
23/05/2024 13:30,Open Position,META/USD,667.52,1.411136,0,48002.4,800,Stocks,0
23/05/2024 13:30,Open Position,AMZN/USD,1057.28,5.735792,0,48002.4,800,Stocks,0
23/05/2024 13:30,Open Position,GOOGL/USD,1236.16,6.942768,0,48002.4,800,Stocks,0
23/05/2024 13:31,Open Position,NVDA/USD,1307.04,1.27552,0,48002.4,800,Stocks,0
24/05/2024 09:13,Open Position,SPY5.L/USD,800,1.513712,0,48002.4,0,ETF,0
30/05/2024 00:30,Dividend,SAF/EUR,12.64,-,12.64,48015.04,12.64,Stocks,0
30/05/2024 07:59,Deposit,,3200,-,3200,51215.04,3212.64,-,0
30/05/2024 07:59,Deposit Conversion Fee,-,0,-,0,51215.04,3212.64,-,0
30/05/2024 07:59,Open Position,IUS3.DE/EUR,812.64,9.3788,0,51215.04,2400,ETF,0
30/05/2024 08:01,Open Position,SPY5.L/USD,800,1.523776,0,51215.04,1600,ETF,0
31/05/2024 11:10,Position closed,USCP.DE/EUR,1892,1.416704,-28,51187.04,3492,ETF,0
31/05/2024 11:10,Open Position,CEBP.DE/EUR,1760,168.394768,0,51187.04,1732,ETF,0
03/06/2024 07:00,Open Position,SPY5.L/USD,932,1.757888,0,51187.04,800,ETF,0
03/06/2024 07:04,Open Position,IUS3.DE/EUR,800,8.961344,0,51187.04,0,ETF,0
09/06/2024 06:17,corp action: Split,NVDA/USD 10:1,0,-,0,51187.04,0,Stocks,0
17/06/2024 00:28,Dividend,DJGTEEX.DE/EUR,8.96,-,8.96,51196,8.96,ETF,0
17/06/2024 01:19,Dividend,SX5EEX.DE/EUR,15.2,-,15.2,51211.2,24.16,ETF,0
17/06/2024 01:19,Dividend,SX5EEX.DE/EUR,12.48,-,12.48,51223.68,36.64,ETF,0
17/06/2024 02:02,Dividend,GOOGL/USD,1.12,-,1.12,51224.8,36.64,Stocks,0
26/06/2024 00:35,Dividend,IDEM/USD,13.28,-,13.28,51238.08,49.92,ETF,0
26/06/2024 00:35,Dividend,IDEM/USD,7.84,-,7.84,51245.92,57.76,ETF,0
26/06/2024 04:23,Dividend,META/USD,0.64,-,0.64,51246.56,57.76,Stocks,0
28/06/2024 06:24,Dividend,NVDA/USD,0.16,-,0.16,51246.72,57.76,Stocks,0
02/07/2024 01:05,Dividend,SPY5.L/USD,2.56,-,2.56,51249.28,60.32,ETF,0
02/07/2024 01:05,Dividend,SPY5.L/USD,0.96,-,0.96,51250.24,61.28,ETF,0
